@id,@type,rdfs:label
ndc9:002.7,skos:Concept,知識．学問．学術--研究法．調査法
ndc9:007.1,skos:Concept,情報科学--情報理論
ndc9:007.11,skos:Concept,情報科学--情報理論--サイバネティックス
ndc9:007.13,skos:Concept,情報科学--情報理論--人工知能．パターン認識
ndc9:007.2,skos:Concept,情報科学--歴史．事情
ndc9:007.3,skos:Concept,情報科学--情報と社会：情報政策
ndc9:007.35,skos:Concept,情報科学--情報と社会：情報政策--情報産業．情報サービス
ndc9:007.5,skos:Concept,情報科学--ドキュメンテーション．情報管理
ndc9:007.53,skos:Concept,情報科学--ドキュメンテーション．情報管理--索引法
ndc9:007.54,skos:Concept,情報科学--ドキュメンテーション．情報管理--抄録法
ndc9:007.57,skos:Concept,情報科学--ドキュメンテーション．情報管理--情報記述の標準化
ndc9:007.58,skos:Concept,情報科学--ドキュメンテーション．情報管理--情報検索．機械検索
ndc9:007.6,skos:Concept,情報科学--データ処理．情報処理
ndc9:007.609,skos:Concept,情報科学--データ処理．情報処理--データ管理
ndc9:007.61,skos:Concept,情報科学--データ処理．情報処理--システム分析．システム設計
ndc9:007.63,skos:Concept,情報科学--データ処理．情報処理--コンピュータ システム．ソフトウェア
ndc9:007.632,skos:Concept,情報科学--コンピュータ システム．ソフトウェア--エキスパート システム
ndc9:007.634,skos:Concept,情報科学--コンピュータ システム．ソフトウェア--オペレーティング システム［OS］
ndc9:007.635,skos:Concept,情報科学--コンピュータ システム．ソフトウェア--漢字処理システム
ndc9:007.636,skos:Concept,情報科学--コンピュータ システム．ソフトウェア--機械翻訳
ndc9:007.637,skos:Concept,情報科学--コンピュータ システム．ソフトウェア--図形処理ソフトウェア
ndc9:007.64,skos:Concept,情報科学--データ処理．情報処理--コンピュータ プログラミング
ndc9:007.642,skos:Concept,情報科学--コンピュータ プログラミング--コンピュータ グラフィックス
ndc9:007.65,skos:Concept,情報科学--データ処理．情報処理--各種の記憶媒体
ndc9:007.7,skos:Concept,情報科学--情報システム：UNISIST，NATIS
ndc9:010.1,skos:Concept,図書館．図書館学--図書館論．図書館と自由
ndc9:010.21,skos:Concept,（図書館．図書館学--書物奉行）
ndc9:010.6,skos:Concept,（図書館．図書館学--図書館友の会）
ndc9:010.7,skos:Concept,図書館．図書館学--研究法．指導法．図書館学教育．職員の養成
ndc9:010.77,skos:Concept,図書館．図書館学--研究法．指導法．図書館学教育．職員の養成--司書課程．司書講習・研修
ndc9:011.1,skos:Concept,図書館政策．図書館行財政--図書館行政
ndc9:011.2,skos:Concept,図書館政策．図書館行財政--図書館法令および基準
ndc9:011.3,skos:Concept,図書館政策．図書館行財政--図書館計画．図書館相互協力
ndc9:011.38,skos:Concept,図書館政策．図書館行財政--図書館計画．図書館相互協力--中央図書館制．分館制．配本所
ndc9:011.4,skos:Concept,図書館政策．図書館行財政--図書館財政
ndc9:011.5,skos:Concept,図書館政策．図書館行財政--図書館に対する特典：免税，郵送料割引，運賃割引
ndc9:011.9,skos:Concept,図書館政策．図書館行財政--国際資料交換
ndc9:012.1,skos:Concept,図書館建築．図書館設備--建築計画：基礎調査，位置，敷地
ndc9:012.2,skos:Concept,図書館建築．図書館設備--建築材料および構造
ndc9:012.28,skos:Concept,図書館建築．図書館設備--改修・改築工事
ndc9:012.29,skos:Concept,図書館建築．図書館設備--維持管理．保護．防火．防水
ndc9:012.3,skos:Concept,図書館建築．図書館設備--建築設計・製図
ndc9:012.4,skos:Concept,図書館建築．図書館設備--書庫．書架
ndc9:012.5,skos:Concept,図書館建築．図書館設備--利用者用諸室：閲覧室，児童室，目録室
ndc9:012.6,skos:Concept,図書館建築．図書館設備--講堂．集会室．展示室．視聴覚室
ndc9:012.7,skos:Concept,図書館建築．図書館設備--事務室．その他管理部門の諸室
ndc9:012.8,skos:Concept,図書館建築．図書館設備--図書館設備：衛生設備，機械設備，電気設備
ndc9:012.89,skos:Concept,図書館建築．図書館設備--図書館設備：衛生設備，機械設備，電気設備--ブックモビル
ndc9:012.9,skos:Concept,図書館建築．図書館設備--図書館用品．図書館備品
